Gender,Event,Location,Year,Medal,Name,Nationality,Result,seconds,Population,GDP per Capita
M,1500M Men,London,2012,G,Taoufik MAKHLOUFI,ALG,03:34.1,214.08,39666519,4206.031232
M,50Km Race Walk Men,London,2012,G,Jared TALLENT,AUS,3:36:53,13013,23781169,56310.96299
M,Long Jump Men,London,2012,S,Mitchell WATT,AUS,8.16,0,23781169,56310.96299
W,100M Hurdles Women,London,2012,G,Sally PEARSON,AUS,12.35,0,23781169,56310.96299
M,4X400M Relay Men,London,2012,G,null,BAH,02:56.7,176.72,388019,22817.23086
M,800M Men,London,2012,S,Nijel AMOS,BOT,01:41.7,101.73,2262485,6360.13822
W,1500M Women,London,2012,B,Maryam Yusuf JAMAL,BRN,04:10.7,0,1377237,22600.2141
M,High Jump Men,London,2012,B,Derek DROUIN,CAN,2.29,0,35851774,43248.52991
M,20Km Race Walk Men,London,2012,G,Ding CHEN,CHN,1:18:46,4726,1371220000,8027.68381
M,20Km Race Walk Men,London,2012,B,Zhen WANG,CHN,1:19:25,4765,1371220000,8027.68381
M,50Km Race Walk Men,London,2012,S,Tianfeng SI,CHN,3:37:16,13036,1371220000,8027.68381
W,20Km Race Walk Women,London,2012,B,Shenjie QIEYANG,CHN,1:25:16,0,1371220000,8027.68381
W,Discus Throw Women,London,2012,S,Yanfeng LI,CHN,67.22,0,1371220000,8027.68381
W,Shot Put Women,London,2012,B,Lijiao GONG,CHN,20.22,0,1371220000,8027.68381
W,Triple Jump Women,London,2012,S,Caterine IBARGUEN,COL,14.8,0,48228704,6056.147717
W,Discus Throw Women,London,2012,G,Sandra PERKOVIC,CRO,69.11,0,4224404,11535.82936
M,Decathlon Men,London,2012,B,Leonel SUAREZ,CUB,8523,0,11389562,
W,Discus Throw Women,London,2012,B,Yarelys BARRIOS,CUB,66.38,0,11389562,
W,Pole Vault Women,London,2012,S,Yarisley SILVA,CUB,4.75,0,11389562,
W,400M Hurdles Women,London,2012,B,Zuzana HEJNOVA,CZE,53.38,0,10551219,17548.33821
W,Javelin Throw Women,London,2012,G,Barbora SPOTAKOVA,CZE,69.55,0,10551219,17548.33821
M,400M Hurdles Men,London,2012,G,Felix SANCHEZ,DOM,,0,10528391,6468.473492
M,400M Men,London,2012,S,Luguelin SANTOS,DOM,,0,10528391,6468.473492
M,Discus Throw Men,London,2012,B,Gerd KANTER,EST,68.03,0,1311998,17118.5042
M,10000M Men,London,2012,B,Tariku BEKELE,ETH,27:31.4,1651.43,99390750,619.1694065
M,5000M Men,London,2012,S,Dejen GEBREMESKEL,ETH,13:42.0,821.98,99390750,619.1694065
W,10000M Women,London,2012,G,Tirunesh DIBABA,ETH,30:20.8,0,99390750,619.1694065
W,3000M Steeplechase Women,London,2012,S,Sofia ASSEFA,ETH,09:09.8,0,99390750,619.1694065
W,5000M Women,London,2012,G,Meseret DEFAR,ETH,15:04.3,0,99390750,619.1694065
W,5000M Women,London,2012,B,Tirunesh DIBABA,ETH,15:05.2,0,99390750,619.1694065
W,Marathon Women,London,2012,G,Tiki GELANA,ETH,2:23:07,0,99390750,619.1694065
M,Javelin Throw Men,London,2012,B,Antti RUUSKANEN,FIN,84.12,0,5482013,42311.03623
M,3000M Steeplechase Men,London,2012,S,Mahiedine MEKHISSI-BENABBAD,FRA,08:19.1,499.08,66808385,36205.5681
M,4X100M Relay Men,London,2012,B,null,FRA,,0,66808385,36205.5681
M,Pole Vault Men,London,2012,G,Renaud LAVILLENIE,FRA,5.97,0,66808385,36205.5681
M,10000M Men,London,2012,G,Mohamed FARAH,GBR,27:30.4,1650.42,65138232,43875.96961
M,5000M Men,London,2012,G,Mohamed FARAH,GBR,13:41.7,821.66,65138232,43875.96961
M,High Jump Men,London,2012,B,Robert GRABARZ,GBR,2.29,0,65138232,43875.96961
M,Long Jump Men,London,2012,G,Greg RUTHERFORD,GBR,8.31,0,65138232,43875.96961
W,400M Women,London,2012,S,Christine OHURUOGU,GBR,49.7,0,65138232,43875.96961
W,Heptathlon Women,London,2012,G,Jessica ENNIS HILL,GBR,6955,0,65138232,43875.96961
M,Discus Throw Men,London,2012,G,Robert HARTING,GER,68.27,0,65138232,43875.96961
M,Pole Vault Men,London,2012,S,Bjorn OTTO,GER,5.91,0,65138232,43875.96961
M,Pole Vault Men,London,2012,B,Raphael HOLZDEPPE,GER,5.91,0,65138232,43875.96961
M,Shot Put Men,London,2012,S,David STORL,GER,21.86,0,65138232,43875.96961
W,Hammer Throw Women,London,2012,B,Betty HEIDLER,GER,77.13,0,65138232,43875.96961
W,Heptathlon Women,London,2012,S,Lilli SCHWARZKOPF,GER,6649,0,65138232,43875.96961
W,Javelin Throw Women,London,2012,S,Christina OBERGFOLL,GER,65.16,0,65138232,43875.96961
W,Javelin Throw Women,London,2012,B,Linda STAHL,GER,64.91,0,65138232,43875.96961
M,400M Men,London,2012,G,Kirani JAMES,GRN,,0,106825,9212.020352
M,20Km Race Walk Men,London,2012,S,Erick BARRONDO,GUA,1:18:57,4737,16342897,3903.478856
M,Hammer Throw Men,London,2012,G,Krisztian PARS,HUN,80.59,0,9844686,12363.54346
M,Discus Throw Men,London,2012,S,Ehsan HADADI,IRI,68.18,0,79109272,
M,50Km Race Walk Men,London,2012,B,Robert HEFFERNAN,IRL,3:37:54,13074,4640703,61133.67243
M,Triple Jump Men,London,2012,B,Fabrizio DONATO,ITA,17.48,0,60802085,29957.80432
M,100M Men,London,2012,G,Usain BOLT,JAM,9.63,9.63,2725941,5232.024583
M,100M Men,London,2012,S,Yohan BLAKE,JAM,9.75,9.75,2725941,5232.024583
M,110M Hurdles Men,London,2012,B,Hansle PARCHMENT,JAM,13.12,13.12,2725941,5232.024583
M,200M Men,London,2012,G,Usain BOLT,JAM,19.32,19.32,2725941,5232.024583
M,200M Men,London,2012,S,Yohan BLAKE,JAM,19.44,19.44,2725941,5232.024583
M,200M Men,London,2012,B,Warren WEIR,JAM,19.84,19.84,2725941,5232.024583
M,4X100M Relay Men,London,2012,G,null,JAM,,0,2725941,5232.024583
W,100M Women,London,2012,G,Shelly-Ann FRASER-PRYCE,JAM,10.75,0,2725941,5232.024583
W,100M Women,London,2012,B,Veronica CAMPBELL-BROWN,JAM,10.81,0,2725941,5232.024583
W,200M Women,London,2012,S,Shelly-Ann FRASER-PRYCE,JAM,22.09,0,2725941,5232.024583
W,4X100M Relay Women,London,2012,S,null,JAM,41.41,0,2725941,5232.024583
W,4X400M Relay Women,London,2012,S,null,JAM,03:21.0,0,2725941,5232.024583
M,Hammer Throw Men,London,2012,B,Koji MUROFUSHI,JPN,78.71,0,126958472,32477.21514
W,Triple Jump Women,London,2012,G,Olga RYPAKOVA,KAZ,14.98,0,17544126,10509.98107
M,3000M Steeplechase Men,London,2012,G,Ezekiel KEMBOI,KEN,08:18.6,498.56,46050302,1376.712829
M,3000M Steeplechase Men,London,2012,B,Abel Kiprop MUTAI,KEN,08:19.7,499.73,46050302,1376.712829
M,5000M Men,London,2012,B,Thomas Pkemei LONGOSIWA,KEN,13:42.4,822.36,46050302,1376.712829
M,800M Men,London,2012,G,David Lekuta RUDISHA,KEN,01:40.9,100.91,46050302,1376.712829
M,800M Men,London,2012,B,Timothy KITUM,KEN,01:42.5,102.53,46050302,1376.712829
M,Marathon Men,London,2012,S,Abel KIRUI,KEN,2:08:27,0,46050302,1376.712829
M,Marathon Men,London,2012,B,Wilson Kipsang KIPROTICH,KEN,2:09:37,0,46050302,1376.712829
W,10000M Women,London,2012,S,Sally Jepkosgei KIPYEGO,KEN,30:26.4,0,46050302,1376.712829
W,10000M Women,London,2012,B,Vivian Jepkemoi CHERUIYOT,KEN,30:30.4,0,46050302,1376.712829
W,3000M Steeplechase Women,London,2012,B,Milcah Chemos CHEYWA,KEN,09:09.9,0,46050302,1376.712829
W,5000M Women,London,2012,S,Vivian Jepkemoi CHERUIYOT,KEN,15:04.7,0,46050302,1376.712829
W,Marathon Women,London,2012,S,Priscah JEPTOO,KEN,2:23:12,0,46050302,1376.712829
M,1500M Men,London,2012,B,Abdalaati IGUIDER,MAR,03:35.1,215.13,46050302,1376.712829
W,Shot Put Women,London,2012,G,Valerie ADAMS,NZL,20.7,0,4595700,37807.96728
M,Shot Put Men,London,2012,G,Tomasz MAJEWSKI,POL,21.89,0,37999494,12554.54755
W,Hammer Throw Women,London,2012,S,Anita WLODARCZYK,POL,77.6,0,37999494,12554.54755
M,400M Hurdles Men,London,2012,B,Javier CULSON,PUR,,0,3474182,
M,High Jump Men,London,2012,B,Mutaz Essa BARSHIM,QAT,2.29,0,2235355,73653.39443
W,800M Women,London,2012,S,Caster SEMENYA,RSA,01:57.2,0,54956920,5723.973357
M,High Jump Men,London,2012,G,Ivan UKHOV,RUS,2.38,0,144096812,9092.580536
W,20Km Race Walk Women,London,2012,G,Elena LASHMANOVA,RUS,1:25:02,0,144096812,9092.580536
W,400M Hurdles Women,London,2012,G,Natalya ANTYUKH,RUS,52.7,0,144096812,9092.580536
W,800M Women,London,2012,G,Mariya SAVINOVA,RUS,01:56.2,0,144096812,9092.580536
W,800M Women,London,2012,B,Ekaterina POISTOGOVA,RUS,01:57.5,0,144096812,9092.580536
W,Heptathlon Women,London,2012,B,Tatyana CHERNOVA,RUS,6628,0,144096812,9092.580536
W,High Jump Women,London,2012,G,Anna CHICHEROVA,RUS,2.05,0,144096812,9092.580536
W,High Jump Women,London,2012,B,Svetlana SHKOLINA,RUS,2.03,0,144096812,9092.580536
W,Long Jump Women,London,2012,S,Elena SOKOLOVA,RUS,7.07,0,144096812,9092.580536
W,Marathon Women,London,2012,B,Tatyana PETROVA ARKHIPOVA,RUS,2:23:29,0,144096812,9092.580536
W,Pole Vault Women,London,2012,B,Yelena ISINBAEVA,RUS,4.7,0,144096812,9092.580536
M,Hammer Throw Men,London,2012,S,Primoz KOZMUS,SLO,79.36,0,2063768,20726.53989
W,3000M Steeplechase Women,London,2012,G,Habiba GHRIBI,TUN,09:08.4,0,11107800,3872.512084
W,1500M Women,London,2012,S,Gamze BULUT,TUR,04:10.4,0,78665830,9125.68759
M,Marathon Men,London,2012,G,Stephen KIPROTICH,UGA,2:08:01,0,39032383,705.2925695
W,4X100M Relay Women,London,2012,B,null,UKR,42.04,0,45198200,2114.954716
W,4X400M Relay Women,London,2012,B,null,UKR,03:23.6,0,45198200,2114.954716
W,Triple Jump Women,London,2012,B,Olga SALADUKHA,UKR,14.79,0,45198200,2114.954716
M,10000M Men,London,2012,S,Galen RUPP,USA,27:30.9,1650.9,321418820,56115.71843
M,100M Men,London,2012,B,Justin GATLIN,USA,9.79,9.79,321418820,56115.71843
M,110M Hurdles Men,London,2012,G,Aries MERRITT,USA,12.92,12.92,321418820,56115.71843
M,110M Hurdles Men,London,2012,S,Jason RICHARDSON,USA,13.04,13.04,321418820,56115.71843
M,1500M Men,London,2012,S,Leonel MANZANO,USA,03:34.8,214.79,321418820,56115.71843
M,400M Hurdles Men,London,2012,S,Michael TINSLEY,USA,,0,321418820,56115.71843
M,4X400M Relay Men,London,2012,S,null,USA,02:57.1,177.05,321418820,56115.71843
M,Decathlon Men,London,2012,G,Ashton EATON,USA,8869,0,321418820,56115.71843
M,Decathlon Men,London,2012,S,Trey HARDEE,USA,8671,0,321418820,56115.71843
M,High Jump Men,London,2012,S,Erik KYNARD,USA,2.33,0,321418820,56115.71843
M,Long Jump Men,London,2012,B,Will CLAYE,USA,8.12,0,321418820,56115.71843
M,Shot Put Men,London,2012,B,Reese HOFFA,USA,21.23,0,321418820,56115.71843
M,Triple Jump Men,London,2012,G,Christian TAYLOR,USA,17.81,0,321418820,56115.71843
M,Triple Jump Men,London,2012,S,Will CLAYE,USA,17.62,0,321418820,56115.71843
W,100M Hurdles Women,London,2012,S,Dawn HARPER,USA,12.37,0,321418820,56115.71843
W,100M Hurdles Women,London,2012,B,Kellie WELLS,USA,12.48,0,321418820,56115.71843
W,100M Women,London,2012,S,Carmelita JETER,USA,10.78,0,321418820,56115.71843
W,200M Women,London,2012,G,Allyson FELIX,USA,21.88,0,321418820,56115.71843
W,200M Women,London,2012,B,Carmelita JETER,USA,22.14,0,321418820,56115.71843
W,400M Hurdles Women,London,2012,S,Lashinda DEMUS,USA,52.77,0,321418820,56115.71843
W,400M Women,London,2012,G,Sanya RICHARDS-ROSS,USA,49.55,0,321418820,56115.71843
W,400M Women,London,2012,B,DeeDee TROTTER,USA,49.72,0,321418820,56115.71843
W,4X100M Relay Women,London,2012,G,null,USA,40.82,0,321418820,56115.71843
W,4X400M Relay Women,London,2012,G,null,USA,03:16.9,0,321418820,56115.71843
W,High Jump Women,London,2012,S,Brigetta BARRETT,USA,2.03,0,321418820,56115.71843
W,Long Jump Women,London,2012,G,Brittney REESE,USA,7.12,0,321418820,56115.71843
W,Long Jump Women,London,2012,B,Janay DELOACH,USA,6.89,0,321418820,56115.71843
W,Pole Vault Women,London,2012,G,Jennifer SUHR,USA,4.75,0,321418820,56115.71843